year,CO2
2005,378.67
2006,387.4713085888504
2007,388.2840686347105
2008,391.66487839803875
2009,391.3726587505089
2010,394.1384918162906
2011,396.44720634101634
2012,396.4166337577739
2013,399.5121188480061
2014,402.1208169015191
2015,404.5201421825234
2016,408.2536263881563
2017,412.2748883645994
2018,412.09095218658814
2019,412.7149885357544
2020,418.6768718585488
2021,422.0483134358765
