site_code year month day hour minute second datetime time_decimal air_sample_container_id value latitude longitude altitude elevation intake_height method event_number instrument analysis_datetime qcflag
SPF 2013 12 18 8 28 50 2013-12-18T08:28:50Z 2013.9626119355657 3916-09 393.73 -75.1017 123.395 -0.1 3233.0 -3233.1 A 364289 L10 2014-02-14T02:54:00 ...
SPF 2013 12 18 8 38 52 2013-12-18T08:38:52Z 2013.9626310248605 3916-10 393.85 -75.1017 123.395 -0.3 3233.0 -3233.3 A 364290 L10 2014-02-14T03:10:00 ...
SPF 2013 12 18 8 48 54 2013-12-18T08:48:54Z 2013.9626501141552 3916-11 393.81 -75.1017 123.395 -0.5 3233.0 -3233.5 A 364291 L10 2014-02-14T03:26:00 ...
SPF 2013 12 18 8 58 51 2013-12-18T08:58:51Z 2013.962669044901 3916-12 393.81 -75.1017 123.395 -0.7 3233.0 -3233.7 A 364292 L10 2014-02-14T03:43:00 ...
SPF 2013 12 18 15 8 51 2013-12-18T15:08:51Z 2013.963373002283 3916-01 393.8 -75.1017 123.395 0.45 3233.0 -3232.55 A 364281 L10 2014-02-14T00:44:00 ...
SPF 2014 1 9 7 8 46 2014-01-09T07:08:46Z 2014.0227335743277 0000-01 393.74 -75.1017 123.395 0.45 3233.0 -3232.55 A 364293 L8 2014-02-18T15:36:00 ...
SPF 2014 1 9 7 28 47 2014-01-09T07:28:47Z 2014.0227716577879 0000-03 394.19 -75.1017 123.395 -0.1 3233.0 -3233.1 A 364294 L8 2014-02-18T15:52:00 ...
SPF 2014 1 9 7 38 47 2014-01-09T07:38:47Z 2014.022790683663 0000-04 394.41 -75.1017 123.395 -0.3 3233.0 -3233.3 A 364295 L8 2014-02-18T16:08:00 ...
SPF 2014 1 9 7 48 46 2014-01-09T07:48:46Z 2014.0228096778285 0000-05 394.77 -75.1017 123.395 -0.5 3233.0 -3233.5 A 364296 L8 2014-02-18T16:24:00 ...
SPF 2014 1 9 7 58 46 2014-01-09T07:58:46Z 2014.0228287037037 0000-06 394.62 -75.1017 123.395 -0.7 3233.0 -3233.7 A 364297 L8 2014-02-18T16:40:00 ...
SPF 2014 1 9 8 8 49 2014-01-09T08:08:49Z 2014.0228478247084 0000-07 393.83 -75.1017 123.395 0.45 3233.0 -3232.55 A 364298 L8 2014-02-18T16:56:00 ...
SPF 2014 1 9 8 28 51 2014-01-09T08:28:51Z 2014.0228859398783 0000-09 393.9 -75.1017 123.395 -0.1 3233.0 -3233.1 A 364299 L8 2014-02-18T17:13:00 ...
SPF 2014 1 9 8 38 47 2014-01-09T08:38:47Z 2014.0229048389142 0000-10 394.01 -75.1017 123.395 -0.3 3233.0 -3233.3 A 364300 L8 2014-02-18T17:29:00 ...
SPF 2014 1 9 8 48 45 2014-01-09T08:48:45Z 2014.0229238013699 0000-11 394.15 -75.1017 123.395 -0.5 3233.0 -3233.5 A 364301 L8 2014-02-18T17:45:00 ...
SPF 2014 1 9 8 58 44 2014-01-09T08:58:44Z 2014.0229427955353 0000-12 394.41 -75.1017 123.395 -0.7 3233.0 -3233.7 A 364302 L8 2014-02-18T18:01:00 ...
