site_code year month day hour minute second datetime time_decimal air_sample_container_id value value_unc latitude longitude altitude elevation intake_height method event_number instrument analysis_datetime qcflag
NEB 2018 12 14 19 0 0 2018-12-14T19:00:00Z 2018.9528538812785 3034-03 435.59 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 455427 L8 2019-03-07T01:03:00 ...
NEB 2018 12 18 19 0 0 2018-12-18T19:00:00Z 2018.9638127853882 3034-05 415.5 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 455429 L8 2019-03-07T01:18:00 ...
NEB 2018 12 22 19 0 0 2018-12-22T19:00:00Z 2018.9747716894976 3034-07 425.45 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 455431 L8 2019-03-07T01:34:00 ...
NEB 2018 12 26 19 0 0 2018-12-26T19:00:00Z 2018.9857305936073 3034-09 423.86 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 455433 L8 2019-03-07T01:50:00 ...
NEB 2018 12 30 19 0 0 2018-12-30T19:00:00Z 2018.996689497717 3034-11 436.52 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 455435 L8 2019-03-07T02:06:00 ...
NEB 2019 3 8 19 0 0 2019-03-08T19:00:00Z 2019.18299086758 3100-01 424.24 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 457621 L8 2019-05-01T02:36:00 ...
NEB 2019 3 12 19 0 0 2019-03-12T19:00:00Z 2019.1939497716894 3100-03 419.16 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 457623 L8 2019-05-01T02:52:00 ...
NEB 2019 3 16 19 0 0 2019-03-16T19:00:00Z 2019.204908675799 3100-05 418.72 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 457625 L8 2019-05-01T03:08:00 ...
NEB 2019 3 20 19 0 0 2019-03-20T19:00:00Z 2019.2158675799087 3100-07 422.18 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 457627 L8 2019-05-01T03:24:00 ...
NEB 2019 3 24 19 0 0 2019-03-24T19:00:00Z 2019.2268264840184 3100-09 421.89 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 457629 L8 2019-05-01T03:40:00 ...
NEB 2019 3 28 19 0 0 2019-03-28T19:00:00Z 2019.2377853881278 3100-11 418.46 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 457631 L8 2019-05-01T03:55:00 ...
NEB 2019 7 2 19 0 0 2019-07-02T19:00:00Z 2019.500799086758 3023-01 404.99 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 463012 L8 2019-08-05T23:51:00 H..
NEB 2019 7 6 19 0 0 2019-07-06T19:00:00Z 2019.5117579908676 3023-03 418.47 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 463014 L8 2019-08-06T00:07:00 H..
NEB 2019 7 10 19 0 0 2019-07-10T19:00:00Z 2019.522716894977 3023-05 399.38 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 463016 L8 2019-08-06T00:22:00 H..
NEB 2019 7 14 19 0 0 2019-07-14T19:00:00Z 2019.5336757990867 3023-07 396.17 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 463018 L8 2019-08-06T00:38:00 H..
NEB 2019 7 18 19 0 0 2019-07-18T19:00:00Z 2019.5446347031964 3023-09 419.61 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 463020 L8 2019-08-06T00:54:00 L..
NEB 2019 7 22 19 0 0 2019-07-22T19:00:00Z 2019.555593607306 3023-11 416.03 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 463022 L8 2019-08-06T01:10:00 L..
NEB 2020 2 16 19 0 0 2020-02-16T19:00:00Z 2020.1278460837887 3062-01 438.91 0.041 39.3154 -76.583 110.95 44.0 66.95 I 472872 PC2 2020-04-07T18:43:42 ...
NEB 2020 2 20 19 0 0 2020-02-20T19:00:00Z 2020.1387750455374 3062-03 423.54 0.041 39.3154 -76.583 110.95 44.0 66.95 I 472874 PC2 2020-04-07T18:59:02 ...
